Origin,Destination,Year,Outgoing,Business,Transit
MEL,SIN,1993,1,0,0
SIN,MEL,1993,0,0,0
HBA,AVV,1997,0,0,0
MEL,BNE,1998,1,0,0
BNE,MEL,1998,0,0,0
MEL,SIN,2004,1,0,0
SIN,BKK,2004,1,0,1
BKK,CPH,2004,1,0,0
CPH,MAN,2004,1,0,0
MAN,CPH,2004,0,0,0
CPH,BKK,2004,0,0,1
BKK,SIN,2004,0,0,1
SIN,MEL,2004,0,0,0
MEL,PER,2005,1,0,0
PER,MEL,2005,0,0,0
MEL,CNS,2008,1,0,0
CNS,MEL,2008,0,0,0
MEL,SYD,2009,1,1,0
SYD,ADL,2009,1,1,0
ADL,MEL,2009,0,1,0
MEL,CNS,2010,1,1,0
CNS,BNE,2010,1,0,0
BNE,MEL,2010,0,1,0
MEL,CNS,2010,1,0,0
CNS,MEL,2010,0,0,0
MEL,BNE,2010,1,1,1
BNE,DUD,2010,1,1,0
DUD,BNE,2010,0,1,1
BNE,MEL,2010,0,1,0
MEL,BKK,2011,1,1,1
BKK,DXB,2011,1,1,1
DXB,FRA,2011,1,1,0
FRA,AUH,2011,0,1,1
AUH,SYD,2011,0,1,0
SYD,MEL,2011,0,1,0
MEL,CBR,2012,1,1,0
CBR,MEL,2012,0,1,0
MEL,CNS,2012,1,0,0
CNS,MEL,2012,0,0,0
MEL,AUH,2012,1,1,1
AUH,FRA,2012,1,1,0
CDG,AUH,2012,0,1,1
AUH,SYD,2012,0,1,1
SYD,MEL,2012,0,1,0
MEL,KUL,2012,1,0,1
KUL,CDG,2012,1,0,0
ORY,BIA,2013,1,0,0
BIA,ORY,2013,0,0,0
CDG,MAN,2013,1,1,0
LGW,CDG,2013,0,1,0
ORY,DBV,2013,1,0,0
SPU,PRG,2013,0,0,1
PRG,CDG,2013,0,0,0
CDG,HEL,2014,1,0,1
HEL,TOS,2014,1,0,0
TOS,OSL,2014,0,0,0
OSL,CDG,2014,0,0,0
CDG,LIN,2014,1,0,0
LIN,CDG,2014,0,0,0
ORY,KEF,2014,1,0,0
KEF,ORY,2014,0,0,0
CDG,JFK,2014,1,1,0
JFK,CDG,2014,0,1,0
FRA,DXB,2014,0,0,1
DXB,MEL,2014,0,0,0
MEL,HBA,2015,1,0,0
HBA,MEL,2015,0,0,0
MEL,WLG,2015,1,0,0
WLG,MEL,2015,0,0,0
MEL,SIN,2015,1,1,0
SIN,MEL,2015,0,1,0
MEL,NRT,2015,1,0,0
NRT,MEL,2015,0,0,0
MEL,AYQ,2015,1,0,0
AYQ,MEL,2015,0,0,0
MEL,HBA,2015,1,0,0
HBA,MEL,2016,0,0,0
MEL,ZQN,2016,1,0,0
ZQN,MEL,2016,0,0,0
MEL,DPS,2016,1,0,0
DPS,MEL,2016,0,0,0
MEL,SIN,2016,1,1,1
SIN,ICN,2016,1,1,0
ICN,SIN,2016,0,1,1
SIN,MEL,2016,0,1,0
MEL,CNS,2016,1,0,0
CNS,MEL,2016,0,0,0
MEL,DXB,2016,1,1,1
DXB,LHR,2016,1,1,0
LHR,DXB,2016,0,1,1
DXB,MEL,2016,0,1,0
MEL,SYD,2017,1,0,1
SYD,SCL,2017,1,0,0
SCL,PUQ,2017,1,0,0
WPU,PUQ,2017,0,0,0
PUQ,SCL,2017,0,0,0
SCL,SYD,2017,0,0,1
SYD,MEL,2017,0,0,0
MEL,DXB,2017,1,1,1
DXB,CDG,2017,1,1,0
BOD,AMS,2017,1,1,0
FRA,MAN,2017,1,1,0
LHR,DXB,2017,0,1,1
DXB,MEL,2017,0,1,0
MEL,PER,2017,1,0,0
PER,MEL,2018,0,0,0
MEL,CMB,2018,1,0,0
CMB,MLE,2018,1,0,0
MLE,VAM,2018,1,0,0
VAM,MLE,2018,0,0,0
MLE,CMB,2018,0,0,1
CMB,MEL,2018,0,0,0
MEL,SYD,2018,1,1,1
SYD,DFW,2018,1,1,1
DFW,FLL,2018,1,1,0
FLL,HAV,2018,1,0,0
HAV,FLL,2018,1,0,1
FLL,DCA,2018,1,1,0
DCA,SFO,2018,0,1,1
SFO,SYD,2018,0,1,1
SYD,MEL,2018,0,1,0
MEL,DXB,2018,1,1,1
DXB,BCN,2018,1,1,0
BCN,DXB,2018,0,1,1
DXB,MEL,2018,0,1,0
MEL,PER,2018,1,1,0
PER,MEL,2018,0,1,0
MEL,CHC,2018,1,0,0
CHC,MEL,2019,0,0,0
MEL,HBA,2019,1,0,0
YCBG,YBHB,2019,1,0,0
HBA,MEL,2019,0,0,0
MEL,LAX,2019,1,1,1
LAX,ORD,2019,1,1,0
ORD,MSP,2019,1,1,0
MSP,MSY,2019,1,0,0
MSY,DFW,2019,0,1,1
DFW,LAX,2019,0,1,1
LAX,MEL,2019,0,1,0
BNE,MEL,2019,0,0,0
MEL,DRW,2019,1,0,0
DRW,MEL,2019,0,0,0
MEL,LST,2020,1,0,0
HBA,MEL,2020,0,0,0
